location,year,week,max_temp_c,min_temp_c,rainfall_mm
Falls Creek,2014,1,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,10,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,11,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,12,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,13,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,14,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,15,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,2,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,3,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,4,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,5,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,6,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,7,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,8,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2014,9,10.381917808219178,3.455494505494505,1165.4
Falls Creek,2015,1,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,10,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,11,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,12,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,13,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,14,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,15,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,2,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,3,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,4,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,5,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,6,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,7,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,8,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2015,9,9.764657534246576,2.9183561643835616,1225.4
Falls Creek,2016,1,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,10,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,11,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,12,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,13,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,14,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,15,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,2,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,3,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,4,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,5,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,6,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,7,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,8,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2016,9,9.381967213114754,3.0945205479452054,1612.6
Falls Creek,2017,1,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,10,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,11,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,12,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,13,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,14,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,15,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,2,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,3,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,4,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,5,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,6,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,7,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,8,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2017,9,9.64065934065934,3.0315068493150683,1487.0
Falls Creek,2018,1,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,10,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,11,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,12,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,13,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,14,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,15,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,2,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,3,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,4,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,5,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,6,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,7,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,8,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2018,9,9.677808988764045,2.9141666666666666,814.6
Falls Creek,2019,1,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,10,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,11,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,12,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,13,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,14,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,15,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,2,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,3,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,4,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,5,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,6,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,7,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,8,10.008080808080809,3.290604026845638,812.4
Falls Creek,2019,9,10.008080808080809,3.290604026845638,812.4
Falls Creek,2020,1,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,10,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,11,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,12,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,13,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,14,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,15,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,2,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,3,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,4,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,5,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,6,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,7,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,8,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2020,9,9.442857142857143,2.765846994535519,1954.0
Falls Creek,2021,1,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,10,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,11,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,12,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,13,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,14,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,15,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,2,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,3,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,4,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,5,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,6,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,7,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,8,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2021,9,8.160744985673352,2.146857142857143,1900.2
Falls Creek,2022,1,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,10,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,11,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,12,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,13,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,14,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,15,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,2,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,3,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,4,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,5,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,6,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,7,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,8,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2022,9,7.462202380952381,1.7127596439169142,1980.0
Falls Creek,2023,1,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,10,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,11,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,12,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,13,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,14,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,15,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,2,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,3,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,4,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,5,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,6,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,7,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,8,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2023,9,9.387640449438202,2.696045197740113,1875.2
Falls Creek,2024,1,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,10,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,11,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,12,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,13,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,14,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,15,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,2,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,3,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,4,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,5,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,6,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,7,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,8,10.754755043227666,3.4695156695156695,1447.2
Falls Creek,2024,9,10.754755043227666,3.4695156695156695,1447.2
Mt. Baw Baw,2014,1,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,10,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,11,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,12,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,13,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,14,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,15,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,2,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,3,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,4,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,5,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,6,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,7,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,8,10.408219178082192,3.753698630136986,1777.6
Mt. Baw Baw,2014,9,10.408219178082192,3.753698630136986,1777.6
