week,dates
Week 1,09-Jun
Week 2,16-Jun
Week 3,23-Jun
Week 4,30-Jun
Week 5,07-Jul
Week 6,14-Jul
Week 7,21-Jul
Week 8,28-Jul
Week 9,04-Aug
Week 10,11-Aug
Week 11,18-Aug
Week 12,25-Aug
Week 13,01-Sep
Week 14,08-Sep
Week 15,15-Sep
