Year,Week,Resort,State,Maximum temperature (Degree C),Minimum temperature (Degree C),Rainfall amount (millimetres),State_agg
2010,1,Charlotte Pass,NSW,1.5285714285714285,-6.078571428571429,7.2,NSW
2010,1,Falls Creek,VIC,0.5,-4.6571428571428575,3.6,VIC
2010,1,Mt. Baw Baw,VIC,0.07142857142857142,-2.557142857142857,39.6,VIC
2010,1,Mt. Buller,VIC,0.36,-3.585714285714286,25.4,VIC
2010,1,Mt. Hotham,VIC,-1.1142857142857143,-5.057142857142857,8.0,VIC
2010,1,Mt. Stirling,VIC,0.36,-3.585714285714286,25.4,VIC
2010,1,Perisher,NSW,3.314285714285714,-6.3428571428571425,12.6,NSW
2010,1,Selwyn,NSW,2.5142857142857147,-2.0285714285714285,22.6,NSW
2010,1,Thredbo,NSW,-0.2571428571428571,-5.814285714285715,1.8,NSW
2010,2,Charlotte Pass,NSW,1.9285714285714286,-2.7,75.4,NSW
2010,2,Falls Creek,VIC,2.414285714285714,-1.3285714285714287,52.8,VIC
2010,2,Mt. Baw Baw,VIC,3.0714285714285716,-1.342857142857143,47.0,VIC
2010,2,Mt. Buller,VIC,,-0.46666666666666673,0.0,VIC
2010,2,Mt. Hotham,VIC,1.6285714285714286,-2.2285714285714286,85.6,VIC
2010,2,Mt. Stirling,VIC,,-0.46666666666666673,0.0,VIC
2010,2,Perisher,NSW,3.1142857142857143,-2.185714285714286,106.0,NSW
2010,2,Selwyn,NSW,4.957142857142857,0.6285714285714287,56.599999999999994,NSW
2010,2,Thredbo,NSW,0.7428571428571428,-3.2142857142857144,44.8,NSW
2010,3,Charlotte Pass,NSW,2.0214285714285714,-4.578571428571428,40.5,NSW
2010,3,Falls Creek,VIC,-0.07142857142857142,-2.942857142857143,30.0,VIC
2010,3,Mt. Baw Baw,VIC,1.2142857142857142,-1.9714285714285715,58.8,VIC
2010,3,Mt. Buller,VIC,,,26.200000000000003,VIC
2010,3,Mt. Hotham,VIC,-1.2285714285714284,-3.857142857142857,45.00000000000001,VIC
2010,3,Mt. Stirling,VIC,,,26.200000000000003,VIC
2010,3,Perisher,NSW,3.642857142857143,-4.414285714285714,36.6,NSW
2010,3,Selwyn,NSW,3.6,-0.5,25.4,NSW
2010,3,Thredbo,NSW,0.4,-4.742857142857143,44.4,NSW
2010,4,Charlotte Pass,NSW,0.7785714285714285,-6.514285714285714,1.8,NSW
2010,4,Falls Creek,VIC,0.4714285714285714,-4.114285714285715,0.8,VIC
2010,4,Mt. Baw Baw,VIC,0.7285714285714285,-2.685714285714286,9.2,VIC
2010,4,Mt. Buller,VIC,,,5.0,VIC
2010,4,Mt. Hotham,VIC,-1.3857142857142857,-4.671428571428572,1.8,VIC
2010,4,Mt. Stirling,VIC,,,5.0,VIC
2010,4,Perisher,NSW,2.0142857142857142,-6.685714285714285,3.0,NSW
2010,4,Selwyn,NSW,2.885714285714286,-2.085714285714286,12.399999999999999,NSW
2010,4,Thredbo,NSW,-0.4571428571428572,-6.3428571428571425,0.6,NSW
2010,5,Charlotte Pass,NSW,4.0285714285714285,-5.228571428571429,42.9,NSW
2010,5,Falls Creek,VIC,3.8857142857142857,-2.414285714285714,19.2,VIC
2010,5,Mt. Baw Baw,VIC,3.642857142857143,-1.042857142857143,4.800000000000001,VIC
2010,5,Mt. Buller,VIC,2.9428571428571426,-1.9428571428571428,29.799999999999997,VIC
2010,5,Mt. Hotham,VIC,2.357142857142857,-3.1285714285714286,55.6,VIC
2010,5,Mt. Stirling,VIC,2.9428571428571426,-1.9428571428571428,29.799999999999997,VIC
2010,5,Perisher,NSW,5.414285714285714,-5.257142857142857,40.199999999999996,NSW
2010,5,Selwyn,NSW,6.785714285714286,0.14285714285714288,5.199999999999999,NSW
2010,5,Thredbo,NSW,2.642857142857143,-5.2,45.6,NSW
2010,6,Charlotte Pass,NSW,0.6785714285714286,-5.5357142857142865,106.9,NSW
2010,6,Falls Creek,VIC,-0.5285714285714286,-4.328571428571428,63.8,VIC
2010,6,Mt. Baw Baw,VIC,-0.39999999999999997,-3.2285714285714286,61.199999999999996,VIC
2010,6,Mt. Buller,VIC,-0.6142857142857142,-4.614285714285714,90.0,VIC
2010,6,Mt. Hotham,VIC,-1.4285714285714286,-4.985714285714286,69.6,VIC
2010,6,Mt. Stirling,VIC,-0.6142857142857142,-4.614285714285714,90.0,VIC
2010,6,Perisher,NSW,1.8857142857142857,-5.585714285714286,114.4,NSW
2010,6,Selwyn,NSW,2.1,-2.1285714285714286,72.60000000000001,NSW
2010,6,Thredbo,NSW,-0.5285714285714286,-5.485714285714286,99.39999999999999,NSW
2010,7,Charlotte Pass,NSW,3.5857142857142863,-5.928571428571429,0.8,NSW
2010,7,Falls Creek,VIC,3.457142857142857,-3.2142857142857144,0.4,VIC
2010,7,Mt. Baw Baw,VIC,2.2857142857142856,-1.9000000000000001,18.4,VIC
2010,7,Mt. Buller,VIC,3.3857142857142857,-2.357142857142857,1.0,VIC
2010,7,Mt. Hotham,VIC,2.442857142857143,-3.185714285714286,1.6,VIC
2010,7,Mt. Stirling,VIC,3.3857142857142857,-2.357142857142857,1.0,VIC
